source_a,source_b,ra_a,dec_a,ra_b,dec_b,separation_arcsec,flux_a,flux_b,brightness_change_percent
12092,11520,154.09416045603717,-43.25843654677432,154.0938946393399,-43.258513950908686,0.7505548944677458,4.566070441580019,4.6043008769179785,0.8372721320683532
12097,11529,153.20103673979864,-42.856773932970405,153.20132802777,-42.856740755590025,0.7779334616918087,44.072759533376285,44.12099573965951,0.10944675757527446
12099,11533,154.16253915176299,-43.28983331260177,154.16230486982874,-43.28999085640925,0.8357996452662215,9.207224552192429,9.185549173230065,-0.23541707752965002
12101,11535,155.34134382773192,-43.81059031577666,155.34129579966023,-43.810862409650916,0.9874524384031873,13.025363272355436,13.667204645554945,4.927627427956111
12103,11537,156.16210125966344,-44.16868488485172,156.16160857812173,-44.16880430702518,1.3429030152812265,4.454590424718839,4.167881826253675,-6.436250499578998
12104,11539,152.7216973082239,-42.63886547147716,152.72180601366736,-42.63897683649574,0.49356787471028,5.583975901147019,5.818476985951864,4.199536118282231
12110,11544,155.23880549796456,-43.769972812047946,155.23867318384242,-43.770244890456304,1.038123268294316,2.1640780587284767,2.4958753384704004,15.332038435659486
12111,11551,155.37625037116152,-43.829910261346804,155.37616377888202,-43.82965483818718,0.9466234338520473,6.907429609668844,6.35674979509798,-7.972282682403831
12113,11553,155.8993392356252,-44.057517350432065,155.89920724398445,-44.05741915447932,0.4915006507822265,3.955193415682167,2.6454570082650006,-33.11434536233094
12116,11555,156.58548521491062,-44.35264148964803,156.58538414775174,-44.35262856251665,0.2642948542457338,1.8420335183482273,2.007583727952089,8.987361410899444
12118,11558,154.67252336346553,-43.522369722659434,154.67213370202998,-43.522468999133714,1.0781248456386194,156.85524470307092,127.73013606509662,-18.568144592875125
12120,11550,155.07481609077604,-43.69977325991223,155.07438920524277,-43.69991585526869,1.2239091285610506,1.7881841147414939,2.0524604996928817,14.779036608855714
12121,11560,155.72684519031557,-43.984616376798286,155.72706812253298,-43.98434137335815,1.1461179098913123,2.0320135681332188,2.3582277668864338,16.053741169302487
12127,11559,155.03811752613848,-43.68582487773087,155.03823383206984,-43.686032143285,0.8052474786793553,2.442769629937252,2.8599958282219835,17.080046893142725
12130,11561,156.5171306872367,-44.32694260705704,156.5166474558389,-44.32700046369631,1.261780230659557,4.5258066327280675,3.726620672763753,-17.65842036168878
12131,11562,156.54755201964676,-44.33980631473699,156.54747815565807,-44.33991091873986,0.4218732627999168,37.381140362952564,36.31104278668921,-2.862667018376738
12134,11570,154.09425838242794,-43.26885179210506,154.09419120209847,-43.268668267904054,0.6837538077451784,3.8909811166441783,3.983658649389966,2.381855114879571
12135,11565,154.61162596576634,-43.49772644536654,154.6114596009902,-43.49761297657848,0.5963317875555926,4.231235247252155,3.963278249274706,-6.33283148582828
12140,11568,156.72222085955127,-44.41483253568275,156.72220762998268,-44.41496919432063,0.49314588180908153,31.053361904781983,31.135431791447424,0.2642866396143801
12145,11575,155.83903674895504,-44.03833477079547,155.83868840942995,-44.038219042812834,0.9931011135338303,2.7911347602213,2.553401570692424,-8.517438603001276
12151,11580,154.17758987582505,-43.30808447492803,154.1779616912487,-43.30870779417973,2.4462244408027947,3.0479885471895654,2.4371474141300786,-20.040794891526748
12158,11583,153.91049155650572,-43.19177190666634,153.91055122832734,-43.19211058178392,1.2292483909974714,5.115364542468679,4.695783852970233,-8.202361454692271
12164,11595,155.98560984860882,-44.1069138686231,155.98532788081346,-44.10665106548041,1.1942978864812166,51.877178342477805,54.47479032471099,5.007234520514041
12167,11589,156.50094783469947,-44.32634908523597,156.50045691270637,-44.32637129114138,1.266814309827485,2.8599832748108174,2.935105830859593,2.6266781596387148
12169,11590,152.89617915668168,-42.73280474172793,152.89580707174332,-42.732798850036595,0.9841307151916524,4.254059948364179,4.48452324271046,5.417490518320068
